ID,Livestock_Type,Disease,Symptom_1,Cure_1,Symptom_2,Cure_2,Symptom_3,Cure_3,Symptom_4,Cure_4,Symptom_5,Cure_5,Symptom_6,Cure_6
36,Duck,Johne’s Disease,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
37,Reindeer,Foot-and-Mouth Disease,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
38,Reindeer,Foot-and-Mouth Disease,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
39,Deer,Rinderpest,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
40,Goose,Anthrax,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
41,Duck,Rinderpest,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
42,Llama,Rinderpest,High Fever,Dietary Management,Bloody Stool,Steroids,Nasal Discharge,Vaccination,Abdominal Pain,Antifungal Treatment,Severe Weakness,Electrolyte Therapy,Respiratory Issues,Immune Boosters
43,Buffalo,Johne’s Disease,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
44,Sheep,Johne’s Disease,High Fever,Dietary Management,Bloody Stool,Steroids,Nasal Discharge,Vaccination,Abdominal Pain,Antifungal Treatment,Severe Weakness,Electrolyte Therapy,Respiratory Issues,Immune Boosters
45,Rabbit,Swine Fever,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
46,Ostrich,Bovine Viral Diarrhea,Fever,Isolation,Blisters,Nutritional Support,Lameness,Deworming,Weight Loss,Antiseptic Wash,Nasal Discharge,Antibiotics,Swelling,Hydration Therapy
47,Mule,Leptospirosis,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
48,Sheep,Leptospirosis,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
49,Buffalo,Leptospirosis,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
50,Pigeon,Scrapie,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
51,Sheep,Swine Fever,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
52,Llama,Foot-and-Mouth Disease,Fever,Antibiotic Treatment,Blisters,Wound Care,Lameness,Hydration,Weight Loss,Anti-fever Medication,Nasal Discharge,Deworming,Swelling,Supportive Care
53,Deer,Anthrax,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
54,Bison,Blue Tongue,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
55,Rabbit,Newcastle Disease,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
56,Pig,Bovine Viral Diarrhea,Breathing Issues,Vaccination,Lesions,Antiviral Drugs,Fever,Rest,Loss of Coordination,Fluid Therapy,Swelling,Antibiotics,Nasal Discharge,Pain Relievers
57,Yak,Newcastle Disease,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
58,Deer,Blue Tongue,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
59,Mule,Avian Influenza,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
60,Goose,Johne’s Disease,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
61,Pigeon,Foot-and-Mouth Disease,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
62,Yak,Bovine Tuberculosis,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
63,Emu,Peste des Petits Ruminants,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
64,Turkey,Newcastle Disease,High Fever,Isolation,Bloody Stool,Nutritional Support,Nasal Discharge,Deworming,Abdominal Pain,Antiseptic Wash,Severe Weakness,Antibiotics,Respiratory Issues,Hydration Therapy
65,Mule,Avian Influenza,High Fever,Isolation,Bloody Stool,Nutritional Support,Nasal Discharge,Deworming,Abdominal Pain,Antiseptic Wash,Severe Weakness,Antibiotics,Respiratory Issues,Hydration Therapy
66,Reindeer,Botulism,High Fever,Oxygen Therapy,Bloody Stool,Anti-inflammatory Drugs,Nasal Discharge,Vitamin Supplements,Abdominal Pain,Pain Relief,Severe Weakness,Quarantine,Respiratory Issues,Herbal Remedies
67,Pigeon,Glanders,Breathing Issues,Antibiotic Treatment,Lesions,Wound Care,Fever,Hydration,Loss of Coordination,Anti-fever Medication,Swelling,Deworming,Nasal Discharge,Supportive Care
68,Bison,Glanders,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
69,Ostrich,Anthrax,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
70,Cattle,Foot-and-Mouth Disease,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
71,Guinea Fowl,Foot-and-Mouth Disease,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
72,Emu,Bovine Viral Diarrhea,Coughing,Isolation,Diarrhea,Nutritional Support,Loss of Appetite,Deworming,Skin Lesions,Antiseptic Wash,Weakness,Antibiotics,Eye Discharge,Hydration Therapy
73,Emu,Scrapie,Coughing,Isolation,Diarrhea,Nutritional Support,Loss of Appetite,Deworming,Skin Lesions,Antiseptic Wash,Weakness,Antibiotics,Eye Discharge,Hydration Therapy
74,Turkey,Glanders,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
75,Alpaca,Peste des Petits Ruminants,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
76,Pigeon,Brucellosis,Coughing,Oxygen Therapy,Diarrhea,Anti-inflammatory Drugs,Loss of Appetite,Vitamin Supplements,Skin Lesions,Pain Relief,Weakness,Quarantine,Eye Discharge,Herbal Remedies
77,Chicken,Avian Influenza,Fever,Antibiotic Treatment,Blisters,Wound Care,Lameness,Hydration,Weight Loss,Anti-fever Medication,Nasal Discharge,Deworming,Swelling,Supportive Care
78,Quail,Avian Influenza,Coughing,Vaccination,Diarrhea,Antiviral Drugs,Loss of Appetite,Rest,Skin Lesions,Fluid Therapy,Weakness,Antibiotics,Eye Discharge,Pain Relievers
79,Deer,Anthrax,Fever,Isolation,Blisters,Nutritional Support,Lameness,Deworming,Weight Loss,Antiseptic Wash,Nasal Discharge,Antibiotics,Swelling,Hydration Therapy
80,Duck,Mastitis,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
81,Mule,Brucellosis,High Fever,Oxygen Therapy,Bloody Stool,Anti-inflammatory Drugs,Nasal Discharge,Vitamin Supplements,Abdominal Pain,Pain Relief,Severe Weakness,Quarantine,Respiratory Issues,Herbal Remedies
82,Emu,Johne’s Disease,High Fever,Vaccination,Bloody Stool,Antiviral Drugs,Nasal Discharge,Rest,Abdominal Pain,Fluid Therapy,Severe Weakness,Antibiotics,Respiratory Issues,Pain Relievers
83,Alpaca,Blue Tongue,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
84,Guinea Fowl,Newcastle Disease,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
85,Ostrich,Brucellosis,High Fever,Isolation,Bloody Stool,Nutritional Support,Nasal Discharge,Deworming,Abdominal Pain,Antiseptic Wash,Severe Weakness,Antibiotics,Respiratory Issues,Hydration Therapy
86,Buffalo,Johne’s Disease,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
87,Chicken,Scrapie,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
88,Reindeer,Foot-and-Mouth Disease,Paralysis,Oxygen Therapy,Weight Loss,Anti-inflammatory Drugs,Skin Rash,Vitamin Supplements,Mouth Sores,Pain Relief,Reduced Milk Production,Quarantine,Lethargy,Herbal Remedies
89,Donkey,Leptospirosis,Paralysis,Antibiotic Treatment,Weight Loss,Wound Care,Skin Rash,Hydration,Mouth Sores,Anti-fever Medication,Reduced Milk Production,Deworming,Lethargy,Supportive Care
90,Alpaca,Anthrax,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
91,Pigeon,Brucellosis,Breathing Issues,Oxygen Therapy,Lesions,Anti-inflammatory Drugs,Fever,Vitamin Supplements,Loss of Coordination,Pain Relief,Swelling,Quarantine,Nasal Discharge,Herbal Remedies
92,Camel,Anthrax,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
93,Goat,Leptospirosis,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
94,Horse,Mastitis,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
95,Pig,Peste des Petits Ruminants,High Fever,Oxygen Therapy,Bloody Stool,Anti-inflammatory Drugs,Nasal Discharge,Vitamin Supplements,Abdominal Pain,Pain Relief,Severe Weakness,Quarantine,Respiratory Issues,Herbal Remedies
96,Llama,Scrapie,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
97,Chicken,Foot-and-Mouth Disease,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
98,Chicken,Johne’s Disease,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
99,Duck,Glanders,Paralysis,Oxygen Therapy,Weight Loss,Anti-inflammatory Drugs,Skin Rash,Vitamin Supplements,Mouth Sores,Pain Relief,Reduced Milk Production,Quarantine,Lethargy,Herbal Remedies
100,Buffalo,Swine Fever,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
101,Yak,Johne’s Disease,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
102,Quail,Rinderpest,Coughing,Antibiotic Treatment,Diarrhea,Wound Care,Loss of Appetite,Hydration,Skin Lesions,Anti-fever Medication,Weakness,Deworming,Eye Discharge,Supportive Care
103,Yak,Bovine Tuberculosis,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
104,Ostrich,Bovine Tuberculosis,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
105,Pigeon,Swine Fever,Breathing Issues,Isolation,Lesions,Nutritional Support,Fever,Deworming,Loss of Coordination,Antiseptic Wash,Swelling,Antibiotics,Nasal Discharge,Hydration Therapy
106,Ostrich,Rinderpest,High Fever,Dietary Management,Bloody Stool,Steroids,Nasal Discharge,Vaccination,Abdominal Pain,Antifungal Treatment,Severe Weakness,Electrolyte Therapy,Respiratory Issues,Immune Boosters
107,Goose,Botulism,Paralysis,Oxygen Therapy,Weight Loss,Anti-inflammatory Drugs,Skin Rash,Vitamin Supplements,Mouth Sores,Pain Relief,Reduced Milk Production,Quarantine,Lethargy,Herbal Remedies
108,Bison,Foot-and-Mouth Disease,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
109,Goat,Brucellosis,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
110,Donkey,Swine Fever,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
111,Guinea Fowl,Brucellosis,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
112,Reindeer,Mastitis,Paralysis,Isolation,Weight Loss,Nutritional Support,Skin Rash,Deworming,Mouth Sores,Antiseptic Wash,Reduced Milk Production,Antibiotics,Lethargy,Hydration Therapy
113,Duck,Johne’s Disease,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
114,Sheep,Leptospirosis,Breathing Issues,Dietary Management,Lesions,Steroids,Fever,Vaccination,Loss of Coordination,Antifungal Treatment,Swelling,Electrolyte Therapy,Nasal Discharge,Immune Boosters
115,Alpaca,Swine Fever,Fever,Isolation,Blisters,Nutritional Support,Lameness,Deworming,Weight Loss,Antiseptic Wash,Nasal Discharge,Antibiotics,Swelling,Hydration Therapy
116,Buffalo,Botulism,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
117,Horse,Botulism,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
118,Donkey,Leptospirosis,Paralysis,Antibiotic Treatment,Weight Loss,Wound Care,Skin Rash,Hydration,Mouth Sores,Anti-fever Medication,Reduced Milk Production,Deworming,Lethargy,Supportive Care
119,Yak,Johne’s Disease,Breathing Issues,Antibiotic Treatment,Lesions,Wound Care,Fever,Hydration,Loss of Coordination,Anti-fever Medication,Swelling,Deworming,Nasal Discharge,Supportive Care
120,Yak,Brucellosis,Fever,Vaccination,Blisters,Antiviral Drugs,Lameness,Rest,Weight Loss,Fluid Therapy,Nasal Discharge,Antibiotics,Swelling,Pain Relievers
121,Sheep,Glanders,High Fever,Isolation,Bloody Stool,Nutritional Support,Nasal Discharge,Deworming,Abdominal Pain,Antiseptic Wash,Severe Weakness,Antibiotics,Respiratory Issues,Hydration Therapy
122,Turkey,Leptospirosis,Fever,Antibiotic Treatment,Blisters,Wound Care,Lameness,Hydration,Weight Loss,Anti-fever Medication,Nasal Discharge,Deworming,Swelling,Supportive Care
123,Turkey,Rinderpest,High Fever,Antibiotic Treatment,Bloody Stool,Wound Care,Nasal Discharge,Hydration,Abdominal Pain,Anti-fever Medication,Severe Weakness,Deworming,Respiratory Issues,Supportive Care
124,Deer,Bovine Viral Diarrhea,Breathing Issues,Antibiotic Treatment,Lesions,Wound Care,Fever,Hydration,Loss of Coordination,Anti-fever Medication,Swelling,Deworming,Nasal Discharge,Supportive Care
125,Goat,Leptospirosis,Fever,Antibiotic Treatment,Blisters,Wound Care,Lameness,Hydration,Weight Loss,Anti-fever Medication,Nasal Discharge,Deworming,Swelling,Supportive Care
126,Camel,Botulism,Paralysis,Antibiotic Treatment,Weight Loss,Wound Care,Skin Rash,Hydration,Mouth Sores,Anti-fever Medication,Reduced Milk Production,Deworming,Lethargy,Supportive Care
127,Cattle,Leptospirosis,Fever,Oxygen Therapy,Blisters,Anti-inflammatory Drugs,Lameness,Vitamin Supplements,Weight Loss,Pain Relief,Nasal Discharge,Quarantine,Swelling,Herbal Remedies
128,Reindeer,Brucellosis,High Fever,Isolation,Bloody Stool,Nutritional Support,Nasal Discharge,Deworming,Abdominal Pain,Antiseptic Wash,Severe Weakness,Antibiotics,Respiratory Issues,Hydration Therapy
129,Reindeer,Blue Tongue,Paralysis,Vaccination,Weight Loss,Antiviral Drugs,Skin Rash,Rest,Mouth Sores,Fluid Therapy,Reduced Milk Production,Antibiotics,Lethargy,Pain Relievers
130,Horse,Newcastle Disease,Fever,Dietary Management,Blisters,Steroids,Lameness,Vaccination,Weight Loss,Antifungal Treatment,Nasal Discharge,Electrolyte Therapy,Swelling,Immune Boosters
131,Duck,Leptospirosis,Paralysis,Dietary Management,Weight Loss,Steroids,Skin Rash,Vaccination,Mouth Sores,Antifungal Treatment,Reduced Milk Production,Electrolyte Therapy,Lethargy,Immune Boosters
132,Buffalo,Anthrax,Coughing,Dietary Management,Diarrhea,Steroids,Loss of Appetite,Vaccination,Skin Lesions,Antifungal Treatment,Weakness,Electrolyte Therapy,Eye Discharge,Immune Boosters
133,Guinea Fowl,Mastitis,Coughing,Isolation,Diarrhea,Nutritional Support,Loss of Appetite,Deworming,Skin Lesions,Antiseptic Wash,Weakness,Antibiotics,Eye Discharge,Hydration Therapy
